No,MemoryID,Word1,Word2,Title,Poem,EndingRule,Mood,ObservationType,SceneTheme,Location,TimeOfDay,Weather,Brightness,Palette,Subject,Symbol,Composition,Lighting,CameraStyle,Rarity,RareEffect,ImagePrompt,Filename,OutputPath,Generate,GenerationStatus,ReviewStatus,Notes
011,M011,あの日の,夜店,あの日の夜店,"ノイズが静かに混ざる。
あの日の夜店を思い出しそうになる。
お腹だけ急いでいた。",だけが,Serious,Memory,閉店前の夜店,祭りの屋台通り,夜,無風,Rare Glitch,near-black with corrupted magenta and cyan,"no visible person, only traces of presence",食べ物の湯気と裸電球,横顔,月明かり,404 Memory Camera,RARE,OBSERVATION LOST,"404 Memory Camera observation error, corrupted summer memory, heavy VHS noise, RGB split, scanline interference, digital tearing, missing fragments, double exposure, signal loss, unsettling but beautiful, red and cyan glitch accents, the numerals 404 clearly visible inside the scene as part of the corrupted memory, vertical 9:16, 1080x1920, no other readable text, no UI frame, no watermark. Scene: 閉店前の夜店 at 祭りの屋台通り. Title concept: あの日の夜店. Visual motif: 食べ物の湯気と裸電球. Subject: no visible person, only traces of presence. Composition: quiet side profile, facial features soft and indistinct. Time: 夜. Weather and air: 無風. Lighting: 月明かり. Color palette: near-black with corrupted magenta and cyan. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: ノイズが静かに混ざる。 / あの日の夜店を思い出しそうになる。 / お腹だけ急いでいた。. Error label concept: OBSERVATION LOST.",011.webp,images/memory/011.webp,YES,PENDING,UNREVIEWED,
012,M012,あの日の,打ち上げ跡,あの日の打ち上げ跡,"風鈴がひとつ鳴った。
ラムネの泡だけ元気だった。
静けさだけ広がった。",だけが,Smile,Smile,花火大会の打ち上げ跡,人気のない河川敷,夕暮れ,雨上がり,Bright,"fresh green, pale cyan and warm white",a hand holding a small summer object,煙と空の椅子,横顔,灯籠,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark, brighter exposure, luminous summer air, hopeful but not overly cheerful. Scene: 花火大会の打ち上げ跡 at 人気のない河川敷. Title concept: あの日の打ち上げ跡. Visual motif: 煙と空の椅子. Subject: a hand holding a small summer object. Composition: quiet side profile, facial features soft and indistinct. Time: 夕暮れ. Weather and air: 雨上がり. Lighting: 灯籠. Color palette: fresh green, pale cyan and warm white. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 風鈴がひとつ鳴った。 / ラムネの泡だけ元気だった。 / 静けさだけ広がった。.",012.webp,images/memory/012.webp,YES,PENDING,UNREVIEWED,
013,M013,最後の,夏祭り,最後の夏祭り,"夜気がゆっくり近づく。
最後の夏祭りを思い出しそうになる。
提灯だけが揺れていた。",だけが,Serious,Memory,神社の夏祭り,神社参道,夜,微風,Normal,deep indigo and soft cyan,a lone person seen from behind,提灯と屋台,空,灯籠,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 神社の夏祭り at 神社参道. Title concept: 最後の夏祭り. Visual motif: 提灯と屋台. Subject: a lone person seen from behind. Composition: wide view dominated by the summer sky. Time: 夜. Weather and air: 微風. Lighting: 灯籠. Color palette: deep indigo and soft cyan. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 夜気がゆっくり近づく。 / 最後の夏祭りを思い出しそうになる。 / 提灯だけが揺れていた。.",013.webp,images/memory/013.webp,YES,PENDING,UNREVIEWED,
014,M014,最後の,花火,最後の花火,"夜気がゆっくり近づく。
ラムネの泡だけ元気だった。
空だけ覚えていた。",だけが,Smile,Smile,打ち上げ花火,河川敷または湖畔,月夜,微風,Normal,midnight blue with warm lantern orange,two distant figures walking quietly,花火と煙,鳥居,花火,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 打ち上げ花火 at 河川敷または湖畔. Title concept: 最後の花火. Visual motif: 花火と煙. Subject: two distant figures walking quietly. Composition: symmetrical framing through a shrine gate. Time: 月夜. Weather and air: 微風. Lighting: 花火. Color palette: midnight blue with warm lantern orange. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 夜気がゆっくり近づく。 / ラムネの泡だけ元気だった。 / 空だけ覚えていた。.",014.webp,images/memory/014.webp,YES,PENDING,UNREVIEWED,
015,M015,最後の,ラムネ,最後のラムネ,"ノイズが静かに混ざる。
最後のラムネを思い出しそうになる。
指だけ頑張っていた。",だけが,Serious,Memory,冷たいラムネ瓶,縁側または夜店,青い時間,微風,Normal,violet-blue with pale moonlight,an empty chair suggesting someone just left,ビー玉と水滴,後ろ姿,灯籠,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 冷たいラムネ瓶 at 縁側または夜店. Title concept: 最後のラムネ. Visual motif: ビー玉と水滴. Subject: an empty chair suggesting someone just left. Composition: rear view, face not visible. Time: 青い時間. Weather and air: 微風. Lighting: 灯籠. Color palette: violet-blue with pale moonlight. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: ノイズが静かに混ざる。 / 最後のラムネを思い出しそうになる。 / 指だけ頑張っていた。.",015.webp,images/memory/015.webp,YES,PENDING,UNREVIEWED,
016,M016,最後の,夕暮れ,最後の夕暮れ,"風鈴がひとつ鳴った。
ビー玉が最後まで出てこない。
影だけ伸びていた。",だけが,Smile,Smile,夏の夕暮れ,住宅街または河川敷,夜,雨上がり,Normal,teal shadows with faded amber,a child-sized silhouette far in the background,長い影と茜空,後ろ姿,夕暮れ,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 夏の夕暮れ at 住宅街または河川敷. Title concept: 最後の夕暮れ. Visual motif: 長い影と茜空. Subject: a child-sized silhouette far in the background. Composition: rear view, face not visible. Time: 夜. Weather and air: 雨上がり. Lighting: 夕暮れ. Color palette: teal shadows with faded amber. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 風鈴がひとつ鳴った。 / ビー玉が最後まで出てこない。 / 影だけ伸びていた。.",016.webp,images/memory/016.webp,YES,PENDING,UNREVIEWED,
017,M017,最後の,鳥居,最後の鳥居,"夜気がゆっくり近づく。
最後の鳥居を思い出しそうになる。
境界だけ揺れていた。",だけが,Serious,Boundary,境界に立つ鳥居,神社の入口,夕暮れ後,湿った夜気,Normal,summer dusk peach and cobalt blue,"no visible person, only traces of presence",鳥居としめ縄,後ろ姿,青白い光,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 境界に立つ鳥居 at 神社の入口. Title concept: 最後の鳥居. Visual motif: 鳥居としめ縄. Subject: no visible person, only traces of presence. Composition: rear view, face not visible. Time: 夕暮れ後. Weather and air: 湿った夜気. Lighting: 青白い光. Color palette: summer dusk peach and cobalt blue. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 夜気がゆっくり近づく。 / 最後の鳥居を思い出しそうになる。 / 境界だけ揺れていた。.",017.webp,images/memory/017.webp,YES,PENDING,UNREVIEWED,
018,M018,最後の,灯籠,最後の灯籠,"風鈴がひとつ鳴った。
扇風機に向かって『あー』と言いたくなった。
光だけ流れていた。",だけが,Smile,Smile,水面を流れる灯籠,静かな川,夏の午後,薄曇り,Bright,"fresh green, pale cyan and warm white",a hand holding a small summer object,灯りと水面,水面,花火,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark, brighter exposure, luminous summer air, hopeful but not overly cheerful. Scene: 水面を流れる灯籠 at 静かな川. Title concept: 最後の灯籠. Visual motif: 灯りと水面. Subject: a hand holding a small summer object. Composition: low angle focused on reflections on water. Time: 夏の午後. Weather and air: 薄曇り. Lighting: 花火. Color palette: fresh green, pale cyan and warm white. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 風鈴がひとつ鳴った。 / 扇風機に向かって『あー』と言いたくなった。 / 光だけ流れていた。.",018.webp,images/memory/018.webp,YES,PENDING,UNREVIEWED,
019,M019,最後の,河川敷,最後の河川敷,"灯りが水面にほどける。
最後の河川敷を思い出しそうになる。
水面だけ笑っていた。",だけが,Serious,Memory,夏の河川敷,川沿いの道,青い時間,微風,Normal,deep indigo and soft cyan,a lone person seen from behind,草と風,空,花火,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 夏の河川敷 at 川沿いの道. Title concept: 最後の河川敷. Visual motif: 草と風. Subject: a lone person seen from behind. Composition: wide view dominated by the summer sky. Time: 青い時間. Weather and air: 微風. Lighting: 花火. Color palette: deep indigo and soft cyan. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 灯りが水面にほどける。 / 最後の河川敷を思い出しそうになる。 / 水面だけ笑っていた。.",019.webp,images/memory/019.webp,YES,PENDING,UNREVIEWED,
020,M020,最後の,蝉時雨,最後の蝉時雨,"ノイズが静かに混ざる。
屋台の匂いに負けた。
音だけ夏だった。",だけが,Smile,Smile,蝉時雨の木陰,古い公園または参道,青い時間,微風,Normal,midnight blue with warm lantern orange,two distant figures walking quietly,木漏れ日と蝉の気配,水面,灯籠,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 蝉時雨の木陰 at 古い公園または参道. Title concept: 最後の蝉時雨. Visual motif: 木漏れ日と蝉の気配. Subject: two distant figures walking quietly. Composition: low angle focused on reflections on water. Time: 青い時間. Weather and air: 微風. Lighting: 灯籠. Color palette: midnight blue with warm lantern orange. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: ノイズが静かに混ざる。 / 屋台の匂いに負けた。 / 音だけ夏だった。.",020.webp,images/memory/020.webp,YES,PENDING,UNREVIEWED,
021,M021,最後の,祭り囃子,最後の祭り囃子,"月が低く見えた。
最後の祭り囃子を思い出しそうになる。
夜だけ踊っていた。",だけが,Serious,Memory,遠くの祭り囃子,夜の路地,青い時間,微風,Normal,violet-blue with pale moonlight,an empty chair suggesting someone just left,太鼓と揺れる提灯,鳥居,月明かり,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 遠くの祭り囃子 at 夜の路地. Title concept: 最後の祭り囃子. Visual motif: 太鼓と揺れる提灯. Subject: an empty chair suggesting someone just left. Composition: symmetrical framing through a shrine gate. Time: 青い時間. Weather and air: 微風. Lighting: 月明かり. Color palette: violet-blue with pale moonlight. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 月が低く見えた。 / 最後の祭り囃子を思い出しそうになる。 / 夜だけ踊っていた。.",021.webp,images/memory/021.webp,YES,PENDING,UNREVIEWED,
022,M022,最後の,帰り道,最後の帰り道,"灯りが水面にほどける。
屋台の匂いに負けた。
街灯だけ待っていた。",だけが,Smile,Smile,祭りの帰り道,濡れた住宅街,夜,無風,Rare Glitch,near-black with corrupted magenta and cyan,a child-sized silhouette far in the background,街灯と二つの影,横顔,月明かり,404 Memory Camera,RARE,SIGNAL NOISE,"404 Memory Camera observation error, corrupted summer memory, heavy VHS noise, RGB split, scanline interference, digital tearing, missing fragments, double exposure, signal loss, unsettling but beautiful, red and cyan glitch accents, the numerals 404 clearly visible inside the scene as part of the corrupted memory, vertical 9:16, 1080x1920, no other readable text, no UI frame, no watermark. Scene: 祭りの帰り道 at 濡れた住宅街. Title concept: 最後の帰り道. Visual motif: 街灯と二つの影. Subject: a child-sized silhouette far in the background. Composition: quiet side profile, facial features soft and indistinct. Time: 夜. Weather and air: 無風. Lighting: 月明かり. Color palette: near-black with corrupted magenta and cyan. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 灯りが水面にほどける。 / 屋台の匂いに負けた。 / 街灯だけ待っていた。. Error label concept: SIGNAL NOISE.",022.webp,images/memory/022.webp,YES,PENDING,UNREVIEWED,
023,M023,最後の,夜店,最後の夜店,"夜気がゆっくり近づく。
最後の夜店を思い出しそうになる。
財布だけ静かだった。",だけが,Serious,Memory,閉店前の夜店,祭りの屋台通り,青い時間,湿った夜気,Normal,summer dusk peach and cobalt blue,"no visible person, only traces of presence",食べ物の湯気と裸電球,手元,灯籠,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 閉店前の夜店 at 祭りの屋台通り. Title concept: 最後の夜店. Visual motif: 食べ物の湯気と裸電球. Subject: no visible person, only traces of presence. Composition: close-up of hands and an object, face not visible. Time: 青い時間. Weather and air: 湿った夜気. Lighting: 灯籠. Color palette: summer dusk peach and cobalt blue. Emotional tone: Serious, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 夜気がゆっくり近づく。 / 最後の夜店を思い出しそうになる。 / 財布だけ静かだった。.",023.webp,images/memory/023.webp,YES,PENDING,UNREVIEWED,
024,M024,最後の,打ち上げ跡,最後の打ち上げ跡,"夜気がゆっくり近づく。
線香花火をまだ信じていた。
煙だけ知っていた。",だけが,Smile,Smile,花火大会の打ち上げ跡,人気のない河川敷,青い時間,薄曇り,Normal,rain-washed blue with small golden lights,a hand holding a small summer object,煙と空の椅子,横顔,夕暮れ,404 Memory Camera,COMMON,,"404 Memory Camera observation, nostalgic Japanese summer, dreamlike cinematic anime realism, analog film texture, subtle grain, gentle bloom, slight motion blur, humid air, quiet emotional ambiguity, real and dreamlike at once, highly detailed, vertical 9:16, 1080x1920, no logo, no caption, no UI, no watermark. Scene: 花火大会の打ち上げ跡 at 人気のない河川敷. Title concept: 最後の打ち上げ跡. Visual motif: 煙と空の椅子. Subject: a hand holding a small summer object. Composition: quiet side profile, facial features soft and indistinct. Time: 青い時間. Weather and air: 薄曇り. Lighting: 夕暮れ. Color palette: rain-washed blue with small golden lights. Emotional tone: Smile, nostalgia, boundary, uncertainty, warmth without explanation. Poetic reference: 夜気がゆっくり近づく。 / 線香花火をまだ信じていた。 / 煙だけ知っていた。.",024.webp,images/memory/024.webp,YES,PENDING,UNREVIEWED,
